name,url,rate,delivery,sale,price
Home Decor Center ترابيزة سرير جانبية مع رف تخزين - ابيض - 40*30*55,https://www.jumia.com.eg//ar/home-decor-center-bedside-table-side-table-with-drawer-white-403055-cm-304-27151996.html,3.3 out of 5,جنيه 172.14,72%,"جنيه 2,500.00"
Modern Home ترابيزة سرير جانبية مع رف تخزين - ابيض -55*40*40,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-white-554040-27151979.html,0 out of 5,جنيه 172.14,54%,"جنيه 1,200.00"
ترابيزة تليفزيون زجزاج مودرن - بيج,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-120cm-32489890.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
Modern Home ترابيزة سرير جانبية مع رف تخزين - اسود 55*40*40,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-black-554040-cm-305-27152038.html,0 out of 5,جنيه 172.14,58%,"جنيه 1,200.00"
Modern Home وحدة تلفزيون مثبتة على الحائط مع خزانة  مع وحدة حامل تلفزيون مع أرفف لغرفة المعيشة (بني مع ابيض),https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-brownwhite-37664677.html,5 out of 5,جنيه 52.44,54%,"جنيه 1,400.00"
Modern Home Modern Tv Table - Black Oak,https://www.jumia.com.eg//ar/modern-tv-table-black-oak-generic-mpg142410.html,4.3 out of 5,جنيه 172.14,58%,"جنيه 2,000.00"
Modern Home مكتب عصرى مع رفوف جانبية  - ابيض 100 سم,https://www.jumia.com.eg//ar/modern-home-office-with-side-shelves-white-100-cm-21414624.html,4.1 out of 5,جنيه 52.44,53%,"جنيه 2,000.00"
Modern Home طاولة تلفزيون عصرية - 80*45*30 سم - أبيض,https://www.jumia.com.eg//ar/modern-home-modern-tv-table-804530cm-white-6905608.html,4 out of 5,جنيه 172.14,68%,"جنيه 2,000.00"
طاولة جانبية مع صينية قابلة للإزالة,https://www.jumia.com.eg//ar/generic-side-table-with-removable-tray-29439599.html,0 out of 5,جنيه 172.14,0%,جنيه 900.00
ترابيزة تليفزيون زجزاج مودرن - بيج,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-120cm-32489889.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
ترابيزة جانبية مودرن - خشب مصنع,https://www.jumia.com.eg//ar/generic-minttm-side-table-engineered-wood-40844537.html,0 out of 5,جنيه 172.14,41%,"جنيه 1,600.00"
Modern Home Modern Table -  80*45*30cm - Light Brown,https://www.jumia.com.eg//ar/modern-home-modern-table-804530cm-light-brown-7204534.html,4.6 out of 5,جنيه 172.14,28%,جنيه 900.00
Modern Home طاولة عصرية - 80*45*30 سم - أسود,https://www.jumia.com.eg//ar/modern-home-modern-table-804530cm-black-7204533.html,4.3 out of 5,جنيه 172.14,28%,جنيه 900.00
ترابيزة تليفزيون 120*30*40 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-39707114.html,0 out of 5,جنيه 172.14,68%,"جنيه 3,000.00"
ترابيزة تليفزيون زجزاج مودرن - اسود,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-black-32489876.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
Modern Home طاولة التلفاز والقهوة العصرية - 120 سم - ابيض,https://www.jumia.com.eg//ar/modern-home-modern-tv-and-coffee-table-120-cm-white-19872544.html,4.3 out of 5,جنيه 172.14,53%,"جنيه 2,000.00"
Sarcomisr Manager Medical Office Chair - Black & White ,https://www.jumia.com.eg//ar/sarcomisr-manager-medical-office-chair-black-white-19932697.html,3.9 out of 5,جنيه 52.44,16%,"جنيه 1,600.00"
Rattan Folding Table - Biege,https://www.jumia.com.eg//ar/rattan-folding-table-biege-27333720.html,4.8 out of 5,جنيه 52.44,43%,جنيه 350.00
ترابيزة تليفزيون زجزاج مودرن - بني,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-brown-120cm-32489887.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
Modern Home وحدة للكتب والديكورات والاكسسوارات متعددة الارفف - اسود,https://www.jumia.com.eg//ar/unit-for-booksdecorations-and-accessories-with-multiple-shelves-black-modern-home-mpg842306.html,4.1 out of 5,جنيه 52.44,25%,"جنيه 1,000.00"
Modern Home وحدة تخزين مع أرفف للكتب والديكور والإكسسوارات مع خزانة _ أبيض_ W9,https://www.jumia.com.eg//ar/modern-home-storage-unit-with-shelves-for-books-decor-and-accessories-with-cabinetwhitew9-21229676.html,4.3 out of 5,جنيه 52.44,15%,"جنيه 2,000.00"
Modern Home ترابيزة قهوه وسط  - 3 قطع - بني,https://www.jumia.com.eg//ar/modern-home-coffe-table-3-pcs-brown-27112486.html,3.8 out of 5,جنيه 172.14,56%,"جنيه 1,800.00"
General ترابيزة سرير جانبية مع رف تخزين - ابيض - 40*30*55,https://www.jumia.com.eg//ar/general-bedside-table-side-table-with-drawer-white-403055-cm-304-38827001.html,0 out of 5,جنيه 172.14,0%,"جنيه 1,000.00"
هوم جاليري وحدة تلفاز من الخشب الطبيعي 30X35X120 بيج,https://www.jumia.com.eg//ar/generic-home-gallery-natural-wood-tv-unit-30x35x120-brown-40814393.html,0 out of 5,جنيه 172.14,17%,"جنيه 3,948.00"
Sarcomisr وحدة تليفزيون 160*40*45 اسود * اخضر,https://www.jumia.com.eg//ar/sarcomisr-tv-unit-160x40x45-blackgreen-38653024.html,0 out of 5,جنيه 172.14,20%,"جنيه 2,500.00"
tv covers Protector,https://www.jumia.com.eg//ar/generic-tv-cover-protection-sleeve-fits-43inch-led-oled-lcd-black-22126215.html,0 out of 5,جنيه 327.91,29%,جنيه 589.00
Gad Woods طاولة تلفزيون عصرية - 80*45*30 سم - أبيض,https://www.jumia.com.eg//ar/gad-woods-modern-tv-table-804530cm-white-27066253.html,0 out of 5,جنيه 172.14,50%,"جنيه 1,300.00"
طاولة عصرية - 80*45*30 سم - أسود,https://www.jumia.com.eg//ar/modern-table-804530cm-black-generic-mpg735232.html,4.3 out of 5,جنيه 172.14,50%,"جنيه 1,400.00"
واحدة تلفزيون من اول لاجشرى,https://www.jumia.com.eg//ar/generic-television-unit-luxury-gray-33188918.html,0 out of 5,جنيه 172.14,0%,"جنيه 5,000.00"
